,count,State,Users,Notes,Merge,Legacy URL,New URL,Title,Suggested Title,Jira Epic
42,6,Backlog,nan,Significant consolidation and re-org of the park pages. See design guidance and content script., ,https://www.mdwfp.com/parks-destinations/state-parks/tishomingo/,nan,MDWFP - Tishomingo,Tishomingo State Park,MDWFP-148
43,7,Backlog,nan,Significant consolidation and re-org of the park pages. See design guidance and content script., ,https://www.mdwfp.com/parks-destinations/state-parks/tishomingo/play-areas/,nan,MDWFP - Play Areas,nan,MDWFP-148
44,7,Backlog,nan,Significant consolidation and re-org of the park pages. See design guidance and content script., ,https://www.mdwfp.com/parks-destinations/state-parks/tishomingo/park-gatehouse-and-entrance/,nan,MDWFP - Park Gatehouse and Entrance,nan,MDWFP-148
45,7,Backlog,nan,Significant consolidation and re-org of the park pages. See design guidance and content script., ,https://www.mdwfp.com/parks-destinations/state-parks/tishomingo/disc-golf-and-compass-course/,nan,MDWFP - Disc Golf and Compass Course,Disc Golf,MDWFP-148
46,7,Backlog,nan,Significant consolidation and re-org of the park pages. See design guidance and content script., ,https://www.mdwfp.com/parks-destinations/state-parks/tishomingo/camping/,nan,MDWFP - Camping,nan,MDWFP-148
47,7,Backlog,nan,Significant consolidation and re-org of the park pages. See design guidance and content script., ,https://www.mdwfp.com/parks-destinations/state-parks/tishomingo/cabin-photos/,nan,MDWFP - Cabin Photos,nan,MDWFP-148
48,7,Backlog,nan,Significant consolidation and re-org of the park pages. See design guidance and content script., ,https://www.mdwfp.com/parks-destinations/state-parks/tishomingo/swimming-pool/,nan,MDWFP - Swimming Pool,nan,MDWFP-148
49,7,Backlog,nan,Significant consolidation and re-org of the park pages. See design guidance and content script., ,https://www.mdwfp.com/parks-destinations/state-parks/tishomingo/bear-creek-canoe-float-trip/,nan,MDWFP - Bear Creek Canoe Float Trip,nan,MDWFP-148
50,7,Backlog,nan,Significant consolidation and re-org of the park pages. See design guidance and content script., ,https://www.mdwfp.com/parks-destinations/state-parks/tishomingo/lodge-and-picnic-facilities/,nan,MDWFP - Lodge and Picnic Facilities,The Lodge and Picnic Facilities,MDWFP-148
51,7,Backlog,nan,Significant consolidation and re-org of the park pages. See design guidance and content script., ,https://www.mdwfp.com/parks-destinations/state-parks/tishomingo/group-camp/,nan,MDWFP - Group Camp,nan,MDWFP-148
52,7,Backlog,nan,Significant consolidation and re-org of the park pages. See design guidance and content script., ,https://www.mdwfp.com/parks-destinations/state-parks/tishomingo/cabins/,nan,MDWFP - Cabins,nan,MDWFP-148
53,7,Backlog,nan,Significant consolidation and re-org of the park pages. See design guidance and content script., ,https://www.mdwfp.com/parks-destinations/state-parks/tishomingo/park-photos/,nan,MDWFP - Park Photos,nan,MDWFP-148
54,7,Backlog,nan,Significant consolidation and re-org of the park pages. See design guidance and content script., ,https://www.mdwfp.com/parks-destinations/state-parks/tishomingo/hiking-trails-and-rock-climbing/,nan,MDWFP - Hiking Trails and Rock Climbing,nan,MDWFP-148
55,7,Backlog,nan,Significant consolidation and re-org of the park pages. See design guidance and content script., ,https://www.mdwfp.com/parks-destinations/state-parks/tishomingo/haynes-lake/,nan,MDWFP - Haynes Lake,nan,MDWFP-148
56,6,Backlog,nan,Significant consolidation and re-org of the park pages. See design guidance and content script., ,https://www.mdwfp.com/parks-destinations/state-parks/legion/,nan,MDWFP - Legion,Legion State Park,MDWFP-148
57,7,Backlog,nan,Significant consolidation and re-org of the park pages. See design guidance and content script., ,https://www.mdwfp.com/parks-destinations/state-parks/legion/cabin-photos/,nan,MDWFP - Cabin Photos,nan,MDWFP-148
58,6,Content Review,Sarah P,Significant consolidation and re-org of the park pages. See design guidance and content script., ,https://www.mdwfp.com/parks-destinations/state-parks/buccaneer/,https://test-mdwfp.pantheonsite.io/park/buccaneer-state-park,MDWFP - Buccaneer,Buccaneer State Park,MDWFP-148
59,7,Content Review,Sarah P,Significant consolidation and re-org of the park pages. See design guidance and content script., ,https://www.mdwfp.com/parks-destinations/state-parks/buccaneer/waterpark/,https://test-mdwfp.pantheonsite.io/buccaneer-bay,MDWFP - Waterpark,Buccaneer Bay,MDWFP-148
60,7,Content Review,Sarah P,Significant consolidation and re-org of the park pages. See design guidance and content script., ,https://www.mdwfp.com/parks-destinations/state-parks/buccaneer/bathhouse/,https://test-mdwfp.pantheonsite.io/park/buccaneer-state-park,MDWFP - Bathhouse,Bathhouses,MDWFP-148
61,7,Content Review,Sarah P,Significant consolidation and re-org of the park pages. See design guidance and content script., ,https://www.mdwfp.com/parks-destinations/state-parks/buccaneer/developed-camping/,https://test-mdwfp.pantheonsite.io/park/buccaneer-state-park,MDWFP - Developed Camping,nan,MDWFP-148
62,7,Content Review,Sarah P,Significant consolidation and re-org of the park pages. See design guidance and content script., ,https://www.mdwfp.com/parks-destinations/state-parks/buccaneer/playground/,https://test-mdwfp.pantheonsite.io/park/buccaneer-state-park,MDWFP - Playground,nan,MDWFP-148
63,7,Content Review,Sarah P,Significant consolidation and re-org of the park pages. See design guidance and content script., ,https://www.mdwfp.com/parks-destinations/state-parks/buccaneer/disc-golf/,https://test-mdwfp.pantheonsite.io/park/buccaneer-state-park,MDWFP - Disc Golf,Jackson's Ridge Disc Golf,MDWFP-148
64,7,Content Review,Sarah P,Significant consolidation and re-org of the park pages. See design guidance and content script., ,https://www.mdwfp.com/parks-destinations/state-parks/buccaneer/nature-trail/,https://test-mdwfp.pantheonsite.io/park/buccaneer-state-park,MDWFP - Nature Trail,Pirate's Alley Nature Trail,MDWFP-148
65,7,Content Review,Sarah P,Significant consolidation and re-org of the park pages. See design guidance and content script., ,https://www.mdwfp.com/parks-destinations/state-parks/buccaneer/laundry-facility/,https://test-mdwfp.pantheonsite.io/park/buccaneer-state-park,MDWFP - Laundry Facility,nan,MDWFP-148
66,7,Content Review,Sarah P,Significant consolidation and re-org of the park pages. See design guidance and content script., ,https://www.mdwfp.com/parks-destinations/state-parks/buccaneer/pavilion/,https://test-mdwfp.pantheonsite.io/park/buccaneer-state-park,MDWFP - Pavilion,Pavilions,MDWFP-148
67,7,Content Review,Sarah P,Significant consolidation and re-org of the park pages. See design guidance and content script., ,https://www.mdwfp.com/parks-destinations/state-parks/buccaneer/recreation-center/,https://test-mdwfp.pantheonsite.io/park/buccaneer-state-park,MDWFP - Recreation Center,"Activity Building, Campstore, and Activity Pool",MDWFP-148
68,6,Backlog,nan,Significant consolidation and re-org of the park pages. See design guidance and content script., ,https://www.mdwfp.com/parks-destinations/state-parks/roosevelt/,nan,MDWFP - Roosevelt,Roosevelt State Park,MDWFP-148
69,7,Backlog,nan,Significant consolidation and re-org of the park pages. See design guidance and content script., ,https://www.mdwfp.com/parks-destinations/state-parks/roosevelt/cabin-photos/,nan,MDWFP - Cabin Photos,nan,MDWFP-148
70,7,Backlog,nan,Significant consolidation and re-org of the park pages. See design guidance and content script., ,https://www.mdwfp.com/parks-destinations/state-parks/roosevelt/cabins-and-motel/,nan,MDWFP - Cabins and Motel,nan,MDWFP-148
71,7,Backlog,nan,Significant consolidation and re-org of the park pages. See design guidance and content script., ,https://www.mdwfp.com/parks-destinations/state-parks/roosevelt/livingston-center/,nan,MDWFP - Livingston Center,Livingston Performing Arts & Media Center,MDWFP-148
72,7,Backlog,nan,Significant consolidation and re-org of the park pages. See design guidance and content script., ,https://www.mdwfp.com/parks-destinations/state-parks/roosevelt/camping/,nan,MDWFP - Camping,nan,MDWFP-148
73,7,Backlog,nan,Significant consolidation and re-org of the park pages. See design guidance and content script., ,https://www.mdwfp.com/parks-destinations/state-parks/roosevelt/picnic-area/,nan,MDWFP - Picnic Area,"Picnic Area, Pavilions, Playgrounds, and Nature Trails",MDWFP-148
74,7,Backlog,nan,Significant consolidation and re-org of the park pages. See design guidance and content script., ,https://www.mdwfp.com/parks-destinations/state-parks/roosevelt/softball-and-tennis/,nan,MDWFP - Softball and Tennis,nan,MDWFP-148
75,7,Backlog,nan,Significant consolidation and re-org of the park pages. See design guidance and content script., ,https://www.mdwfp.com/parks-destinations/state-parks/roosevelt/fishing-and-boating/,nan,MDWFP - Fishing and Boating,nan,MDWFP-148
76,7,Backlog,nan,Significant consolidation and re-org of the park pages. See design guidance and content script., ,https://www.mdwfp.com/parks-destinations/state-parks/roosevelt/group-camp/,nan,MDWFP - Group Camp,nan,MDWFP-148
77,7,Backlog,nan,Significant consolidation and re-org of the park pages. See design guidance and content script., ,https://www.mdwfp.com/parks-destinations/state-parks/roosevelt/swimming-pool-and-water-slide/,nan,MDWFP - Swimming Pool and Water Slide,nan,MDWFP-148
78,7,Backlog,nan,Significant consolidation and re-org of the park pages. See design guidance and content script., ,https://www.mdwfp.com/parks-destinations/state-parks/roosevelt/visitor-center/,nan,MDWFP - Visitor Center,nan,MDWFP-148
79,7,Backlog,nan,Significant consolidation and re-org of the park pages. See design guidance and content script., ,https://www.mdwfp.com/parks-destinations/state-parks/roosevelt/disc-golf/,nan,MDWFP - Disc Golf,nan,MDWFP-148
80,7,Backlog,nan,Significant consolidation and re-org of the park pages. See design guidance and content script., ,https://www.mdwfp.com/parks-destinations/state-parks/roosevelt/park-photos/,nan,MDWFP - Park Photos,nan,MDWFP-148
81,6,Backlog,nan,Significant consolidation and re-org of the park pages. See design guidance and content script., ,https://www.mdwfp.com/parks-destinations/state-parks/tombigbee/,nan,MDWFP - Tombigbee,Tombigbee State Park,MDWFP-148
82,7,Backlog,nan,Significant consolidation and re-org of the park pages. See design guidance and content script., ,https://www.mdwfp.com/parks-destinations/state-parks/tombigbee/visitor-center/,nan,MDWFP - Visitor Center,nan,MDWFP-148
83,7,Backlog,nan,Significant consolidation and re-org of the park pages. See design guidance and content script., ,https://www.mdwfp.com/parks-destinations/state-parks/tombigbee/group-camp/,nan,MDWFP - Group Camp,nan,MDWFP-148
84,7,Backlog,nan,Significant consolidation and re-org of the park pages. See design guidance and content script., ,https://www.mdwfp.com/parks-destinations/state-parks/tombigbee/disc-golf/,nan,MDWFP - Disc Golf,nan,MDWFP-148
85,7,Backlog,nan,Significant consolidation and re-org of the park pages. See design guidance and content script., ,https://www.mdwfp.com/parks-destinations/state-parks/tombigbee/cabins/,nan,MDWFP - Cabins,nan,MDWFP-148
86,7,Backlog,nan,Significant consolidation and re-org of the park pages. See design guidance and content script., ,https://www.mdwfp.com/parks-destinations/state-parks/tombigbee/picnic-and-play-areas/,nan,MDWFP - Picnic and Play Areas,nan,MDWFP-148
87,7,Backlog,nan,Significant consolidation and re-org of the park pages. See design guidance and content script., ,https://www.mdwfp.com/parks-destinations/state-parks/tombigbee/camping/,nan,MDWFP - Camping,nan,MDWFP-148
88,7,Backlog,nan,Significant consolidation and re-org of the park pages. See design guidance and content script., ,https://www.mdwfp.com/parks-destinations/state-parks/tombigbee/fishing-and-boat-launch/,nan,MDWFP - Fishing and Boat Launch,nan,MDWFP-148
89,7,Backlog,nan,Significant consolidation and re-org of the park pages. See design guidance and content script., ,https://www.mdwfp.com/parks-destinations/state-parks/tombigbee/cabin-photos/,nan,MDWFP - Cabin Photos,nan,MDWFP-148
90,6,Backlog,nan,Significant consolidation and re-org of the park pages. See design guidance and content script., ,https://www.mdwfp.com/parks-destinations/state-parks/clark-creek/,nan,MDWFP - Clark Creek,Clark Creek State Park,MDWFP-148
91,6,Backlog,nan,Significant consolidation and re-org of the park pages. See design guidance and content script., ,https://www.mdwfp.com/parks-destinations/state-parks/john-w-kyle/,nan,MDWFP - John W. Kyle,John W. Kyle State Park,MDWFP-148
92,7,Backlog,nan,Significant consolidation and re-org of the park pages. See design guidance and content script., ,https://www.mdwfp.com/parks-destinations/state-parks/john-w-kyle/cabin-photos/,nan,MDWFP - Cabin Photos,nan,MDWFP-148
93,7,Backlog,nan,Significant consolidation and re-org of the park pages. See design guidance and content script., ,https://www.mdwfp.com/parks-destinations/state-parks/john-w-kyle/developed-camping/,nan,MDWFP - Developed Camping,nan,MDWFP-148
94,7,Backlog,nan,Significant consolidation and re-org of the park pages. See design guidance and content script., ,https://www.mdwfp.com/parks-destinations/state-parks/john-w-kyle/cabins/,nan,MDWFP - Cabins,nan,MDWFP-148
95,6,Backlog,nan,Significant consolidation and re-org of the park pages. See design guidance and content script., ,https://www.mdwfp.com/parks-destinations/state-parks/florewood/,nan,MDWFP - Florewood,Florewood State Park,MDWFP-148
96,6,Backlog,nan,Significant consolidation and re-org of the park pages. See design guidance and content script., ,https://www.mdwfp.com/parks-destinations/state-parks/golden-memorial/,nan,MDWFP - Golden Memorial,Golden Memorial State Park,MDWFP-148
97,7,Backlog,nan,Significant consolidation and re-org of the park pages. See design guidance and content script., ,https://www.mdwfp.com/parks-destinations/state-parks/golden-memorial/facilities/,nan,MDWFP - Facilities,nan,MDWFP-148
98,7,Backlog,nan,Significant consolidation and re-org of the park pages. See design guidance and content script., ,https://www.mdwfp.com/parks-destinations/state-parks/golden-memorial/water-activities/,nan,MDWFP - Water Activities,nan,MDWFP-148
99,6,Backlog,nan,Significant consolidation and re-org of the park pages. See design guidance and content script., ,https://www.mdwfp.com/parks-destinations/state-parks/natchez/,nan,MDWFP - Natchez,Natchez State Park,MDWFP-148
100,7,Backlog,nan,Significant consolidation and re-org of the park pages. See design guidance and content script., ,https://www.mdwfp.com/parks-destinations/state-parks/natchez/tent-camping/,nan,MDWFP - Tent Camping,nan,MDWFP-148
101,7,Backlog,nan,Significant consolidation and re-org of the park pages. See design guidance and content script., ,https://www.mdwfp.com/parks-destinations/state-parks/natchez/water-activities/,nan,MDWFP - Water Activities,nan,MDWFP-148
102,7,Backlog,nan,Significant consolidation and re-org of the park pages. See design guidance and content script., ,https://www.mdwfp.com/parks-destinations/state-parks/natchez/developed-camping/,nan,MDWFP - Developed Camping,nan,MDWFP-148
103,7,Backlog,nan,Significant consolidation and re-org of the park pages. See design guidance and content script., ,https://www.mdwfp.com/parks-destinations/state-parks/natchez/cabin-photos/,nan,MDWFP - Cabin Photos,nan,MDWFP-148
104,7,Backlog,nan,Significant consolidation and re-org of the park pages. See design guidance and content script., ,https://www.mdwfp.com/parks-destinations/state-parks/natchez/vacation-cabins/,nan,MDWFP - Vacation Cabins,nan,MDWFP-148
105,6,Backlog,nan,Significant consolidation and re-org of the park pages. See design guidance and content script., ,https://www.mdwfp.com/parks-destinations/state-parks/jp-coleman/,nan,MDWFP - J.P. Coleman,J.P. Coleman State Park,MDWFP-148
106,7,Backlog,nan,Significant consolidation and re-org of the park pages. See design guidance and content script., ,https://www.mdwfp.com/parks-destinations/state-parks/jp-coleman/lodging/,nan,MDWFP - Lodging,nan,MDWFP-148
107,7,Backlog,nan,Significant consolidation and re-org of the park pages. See design guidance and content script., ,https://www.mdwfp.com/parks-destinations/state-parks/jp-coleman/day-use-area/,nan,MDWFP - Day Use Area,nan,MDWFP-148
108,7,Backlog,nan,Significant consolidation and re-org of the park pages. See design guidance and content script., ,https://www.mdwfp.com/parks-destinations/state-parks/jp-coleman/rv-campground-and-primitive-camping/,nan,MDWFP - RV Campground and Primitive Camping,nan,MDWFP-148
109,7,Backlog,nan,Significant consolidation and re-org of the park pages. See design guidance and content script., ,https://www.mdwfp.com/parks-destinations/state-parks/jp-coleman/fishing-boating-and-marina/,nan,"MDWFP - Fishing, Boating, and Marina",nan,MDWFP-148
110,7,Backlog,nan,Significant consolidation and re-org of the park pages. See design guidance and content script., ,https://www.mdwfp.com/parks-destinations/state-parks/jp-coleman/visitor-and-conference-center/,nan,MDWFP - Visitor and Conference Center,nan,MDWFP-148
111,6,Backlog,nan,Significant consolidation and re-org of the park pages. See design guidance and content script., ,https://www.mdwfp.com/parks-destinations/state-parks/hugh-white/,nan,MDWFP - Hugh White,Hugh White State Park,MDWFP-148
112,7,Backlog,nan,Significant consolidation and re-org of the park pages. See design guidance and content script., ,https://www.mdwfp.com/parks-destinations/state-parks/hugh-white/developed-camping/,nan,MDWFP - Developed Camping,nan,MDWFP-148
